iter	Passed	Remaining
0	26	26627
1	53	26641
2	85	28261
3	111	27833
4	138	27530
5	162	26960
6	188	26797
7	213	26416
8	240	26536
9	265	26331
10	290	26160
11	315	25972
12	341	25939
13	367	25888
14	392	25801
15	417	25687
16	442	25579
17	467	25508
18	489	25278
19	514	25218
20	541	25264
21	567	25233
22	592	25154
23	617	25098
24	644	25128
25	668	25059
26	694	25010
27	719	24967
28	743	24906
29	768	24851
30	793	24798
31	818	24759
32	843	24711
33	871	24750
34	895	24699
35	922	24691
36	948	24679
37	973	24652
38	999	24636
39	1023	24571
40	1049	24542
41	1073	24489
42	1099	24467
43	1123	24421
44	1149	24399
45	1175	24379
46	1200	24338
47	1225	24311
48	1251	24280
49	1278	24284
50	1303	24258
51	1329	24234
52	1355	24214
53	1380	24189
54	1405	24143
55	1430	24108
56	1456	24093
57	1480	24051
58	1505	24012
59	1529	23957
60	1555	23946
61	1581	23929
62	1607	23911
63	1634	23898
64	1660	23880
65	1686	23863
66	1712	23842
67	1738	23832
68	1765	23817
69	1791	23799
70	1817	23777
71	1843	23766
72	1869	23738
73	1895	23715
74	1922	23705
75	1945	23655
76	1969	23609
77	1994	23580
78	2021	23565
79	2047	23547
80	2073	23529
81	2099	23502
82	2125	23481
83	2146	23406
84	2172	23385
85	2198	23360
86	2223	23339
87	2249	23312
88	2278	23321
89	2304	23300
90	2330	23281
91	2356	23254
92	2382	23238
93	2408	23214
94	2433	23182
95	2458	23148
96	2483	23119
97	2509	23093
98	2533	23057
99	2558	23025
100	2582	22989
101	2608	22963
102	2631	22915
103	2655	22881
104	2681	22852
105	2707	22831
106	2733	22809
107	2758	22783
108	2784	22757
109	2808	22726
110	2834	22698
111	2859	22670
112	2885	22646
113	2910	22619
114	2936	22597
115	2960	22563
116	2985	22531
117	3010	22499
118	3035	22473
119	3060	22444
120	3087	22426
121	3112	22400
122	3138	22377
123	3163	22350
124	3189	22328
125	3215	22301
126	3243	22298
127	3268	22265
128	3294	22244
129	3320	22222
130	3346	22199
131	3373	22182
132	3399	22158
133	3424	22133
134	3449	22105
135	3474	22073
136	3497	22029
137	3522	22005
138	3548	21982
139	3573	21952
140	3598	21924
141	3622	21890
142	3648	21866
143	3673	21837
144	3698	21810
145	3723	21782
146	3749	21756
147	3774	21727
148	3799	21700
149	3823	21668
150	3848	21638
151	3874	21613
152	3900	21592
153	3926	21568
154	3951	21541
155	3977	21520
156	4002	21492
157	4027	21465
158	4053	21440
159	4078	21414
160	4104	21387
161	4129	21361
162	4162	21374
163	4189	21354
164	4214	21329
165	4241	21308
166	4266	21279
167	4291	21250
168	4316	21223
169	4341	21196
170	4361	21143
171	4386	21114
172	4411	21089
173	4436	21061
174	4461	21032
175	4486	21003
176	4510	20973
177	4535	20944
178	4559	20912
179	4583	20879
180	4608	20852
181	4633	20824
182	4657	20791
183	4681	20762
184	4707	20739
185	4732	20711
186	4757	20681
187	4783	20659
188	4808	20631
189	4833	20605
190	4858	20576
191	4884	20553
192	4908	20522
193	4932	20492
194	4957	20464
195	4982	20436
196	5006	20408
197	5030	20377
198	5056	20352
199	5082	20330
200	5108	20307
201	5134	20284
202	5160	20260
203	5186	20235
204	5211	20210
205	5237	20185
206	5261	20155
207	5285	20126
208	5310	20099
209	5336	20076
210	5362	20050
211	5387	20025
212	5413	20003
213	5438	19976
214	5464	19951
215	5490	19927
216	5516	19905
217	5542	19880
218	5566	19850
219	5591	19823
220	5617	19802
221	5646	19787
222	5672	19764
223	5699	19744
224	5725	19722
225	5750	19695
226	5777	19673
227	5804	19653
228	5830	19629
229	5856	19606
230	5883	19584
231	5909	19561
232	5933	19533
233	5959	19507
234	5985	19483
235	6010	19457
236	6035	19431
237	6059	19401
238	6085	19376
239	6109	19347
240	6134	19319
241	6158	19290
242	6183	19264
243	6208	19237
244	6233	19210
245	6263	19198
246	6289	19173
247	6314	19148
248	6340	19123
249	6365	19096
250	6390	19069
251	6415	19041
252	6440	19015
253	6465	18990
254	6489	18959
255	6515	18935
256	6541	18912
257	6567	18887
258	6593	18864
259	6619	18839
260	6646	18818
261	6671	18791
262	6697	18768
263	6722	18740
264	6747	18715
265	6774	18693
266	6800	18668
267	6825	18642
268	6851	18617
269	6874	18586
270	6901	18565
271	6928	18542
272	6954	18519
273	6980	18494
274	7006	18471
275	7032	18448
276	7054	18414
277	7079	18386
278	7105	18361
279	7134	18345
280	7162	18327
281	7186	18298
282	7211	18270
283	7238	18248
284	7263	18221
285	7290	18201
286	7316	18176
287	7340	18147
288	7365	18120
289	7390	18094
290	7415	18066
291	7441	18043
292	7466	18017
293	7492	17992
294	7517	17965
295	7542	17939
296	7568	17914
297	7593	17888
298	7618	17860
299	7643	17835
300	7670	17813
301	7695	17787
302	7722	17764
303	7748	17740
304	7775	17718
305	7802	17696
306	7829	17673
307	7854	17647
308	7880	17622
309	7904	17593
310	7928	17565
311	7954	17540
312	7979	17514
313	8003	17485
314	8029	17461
315	8055	17436
316	8081	17412
317	8108	17389
318	8133	17363
319	8159	17339
320	8185	17314
321	8210	17288
322	8235	17261
323	8261	17236
324	8286	17209
325	8310	17181
326	8334	17153
327	8359	17125
328	8384	17099
329	8409	17074
330	8432	17044
331	8456	17015
332	8481	16989
333	8506	16962
334	8532	16937
335	8557	16912
336	8582	16885
337	8607	16858
338	8633	16834
339	8659	16809
340	8684	16782
341	8708	16755
342	8733	16727
343	8756	16698
344	8781	16671
345	8805	16644
346	8830	16616
347	8854	16589
348	8879	16563
349	8904	16536
350	8928	16508
351	8954	16483
352	8979	16458
353	9005	16433
354	9031	16408
355	9055	16381
356	9079	16352
357	9103	16325
358	9125	16293
359	9150	16267
360	9175	16240
361	9199	16213
362	9223	16186
363	9248	16160
364	9273	16132
365	9298	16107
366	9321	16077
367	9346	16052
368	9373	16028
369	9398	16003
370	9424	15977
371	9450	15953
372	9474	15927
373	9500	15902
374	9526	15877
375	9551	15850
376	9576	15824
377	9602	15801
378	9629	15777
379	9654	15752
380	9682	15731
381	9708	15705
382	9733	15679
383	9760	15657
384	9787	15633
385	9811	15607
386	9837	15583
387	9863	15558
388	9889	15533
389	9915	15508
390	9941	15484
391	9967	15459
392	9997	15440
393	10023	15416
394	10050	15394
395	10076	15369
396	10102	15344
397	10128	15320
398	10155	15296
399	10181	15272
400	10207	15247
401	10232	15221
402	10257	15195
403	10284	15171
404	10307	15143
405	10333	15118
406	10358	15092
407	10383	15066
408	10408	15040
409	10434	15015
410	10460	14990
411	10485	14965
412	10508	14936
413	10533	14909
414	10558	14883
415	10583	14857
416	10609	14833
417	10634	14806
418	10659	14780
419	10683	14753
420	10708	14727
421	10738	14708
422	10763	14682
423	10788	14656
424	10820	14639
425	10845	14613
426	10871	14589
427	10896	14563
428	10922	14537
429	10947	14511
430	10972	14485
431	10997	14459
432	11023	14434
433	11047	14407
434	11072	14381
435	11097	14356
436	11122	14329
437	11147	14303
438	11172	14277
439	11197	14251
440	11222	14225
441	11248	14200
442	11274	14175
443	11301	14152
444	11327	14127
445	11353	14103
446	11380	14078
447	11406	14054
448	11432	14029
449	11459	14005
450	11485	13981
451	11511	13955
452	11538	13932
453	11564	13907
454	11589	13882
455	11615	13856
456	11640	13830
457	11664	13804
458	11691	13779
459	11716	13754
460	11747	13735
461	11774	13711
462	11799	13685
463	11827	13663
464	11854	13639
465	11882	13616
466	11909	13592
467	11936	13569
468	11961	13542
469	11987	13518
470	12014	13493
471	12039	13468
472	12065	13443
473	12091	13418
474	12118	13393
475	12143	13368
476	12170	13344
477	12197	13320
478	12221	13293
479	12246	13266
480	12272	13241
481	12305	13224
482	12331	13199
483	12356	13173
484	12383	13149
485	12410	13125
486	12436	13099
487	12462	13075
488	12488	13050
489	12514	13025
490	12539	12999
491	12565	12973
492	12590	12947
493	12615	12921
494	12639	12894
495	12663	12867
496	12688	12841
497	12713	12816
498	12739	12791
499	12765	12765
500	12790	12739
501	12815	12713
502	12841	12688
503	12867	12663
504	12892	12637
505	12918	12611
506	12942	12584
507	12968	12560
508	12993	12534
509	13019	12508
510	13044	12482
511	13069	12456
512	13095	12431
513	13121	12406
514	13146	12380
515	13171	12354
516	13195	12327
517	13221	12302
518	13246	12276
519	13272	12251
520	13297	12225
521	13322	12199
522	13347	12173
523	13374	12149
524	13401	12125
525	13428	12101
526	13454	12075
527	13481	12051
528	13507	12026
529	13533	12001
530	13559	11976
531	13585	11951
532	13612	11926
533	13637	11900
534	13663	11876
535	13692	11853
536	13718	11827
537	13744	11802
538	13770	11777
539	13796	11752
540	13822	11727
541	13850	11703
542	13876	11678
543	13903	11654
544	13930	11629
545	13956	11605
546	13983	11580
547	14009	11555
548	14035	11529
549	14065	11507
