iter	Passed	Remaining
550	14091	11483
551	14118	11458
552	14143	11432
553	14170	11407
554	14196	11383
555	14223	11358
556	14249	11332
557	14273	11305
558	14298	11280
559	14323	11254
560	14349	11228
561	14374	11202
562	14400	11177
563	14426	11152
564	14453	11127
565	14480	11103
566	14505	11077
567	14530	11051
568	14556	11025
569	14581	10999
570	14608	10975
571	14634	10950
572	14660	10925
573	14687	10900
574	14713	10875
575	14740	10850
576	14767	10826
577	14793	10801
578	14820	10776
579	14846	10750
580	14870	10724
581	14897	10699
582	14921	10673
583	14946	10647
584	14976	10624
585	15001	10598
586	15026	10572
587	15048	10544
588	15073	10518
589	15097	10491
590	15121	10464
591	15151	10442
592	15176	10415
593	15200	10389
594	15224	10362
595	15249	10336
596	15275	10311
597	15304	10288
598	15330	10263
599	15353	10235
600	15379	10210
601	15405	10185
602	15431	10159
603	15454	10132
604	15480	10106
605	15505	10081
606	15531	10055
607	15556	10029
608	15581	10003
609	15606	9978
610	15631	9952
611	15656	9926
612	15681	9899
613	15706	9874
614	15732	9848
615	15757	9822
616	15782	9797
617	15808	9771
618	15835	9746
619	15860	9720
620	15886	9695
621	15912	9670
622	15939	9645
623	15964	9619
624	15993	9596
625	16019	9570
626	16049	9547
627	16075	9522
628	16103	9497
629	16130	9473
630	16155	9447
631	16181	9422
632	16207	9396
633	16232	9370
634	16259	9345
635	16283	9319
636	16309	9293
637	16334	9268
638	16359	9242
639	16385	9216
640	16410	9191
641	16435	9164
642	16460	9138
643	16485	9112
644	16510	9086
645	16535	9061
646	16562	9036
647	16589	9011
648	16614	8985
649	16640	8960
650	16669	8936
651	16695	8911
652	16721	8885
653	16746	8859
654	16773	8834
655	16799	8809
656	16825	8784
657	16852	8759
658	16878	8733
659	16903	8707
660	16929	8682
661	16955	8657
662	16981	8631
663	17005	8605
664	17030	8579
665	17055	8553
666	17080	8527
667	17105	8501
668	17129	8475
669	17157	8450
670	17181	8424
671	17206	8398
672	17231	8372
673	17256	8346
674	17281	8320
675	17306	8294
676	17332	8269
677	17356	8243
678	17383	8217
679	17410	8193
680	17436	8167
681	17461	8141
682	17487	8116
683	17511	8090
684	17537	8064
685	17563	8039
686	17587	8013
687	17615	7988
688	17640	7962
689	17667	7937
690	17698	7914
691	17725	7889
692	17752	7864
693	17778	7839
694	17805	7813
695	17832	7788
696	17858	7763
697	17884	7737
698	17910	7712
699	17935	7686
700	17961	7661
701	17986	7635
702	18012	7609
703	18036	7583
704	18061	7557
705	18086	7531
706	18112	7506
707	18137	7480
708	18161	7454
709	18187	7428
710	18213	7403
711	18239	7377
712	18265	7352
713	18291	7327
714	18318	7301
715	18345	7276
716	18371	7251
717	18396	7225
718	18422	7199
719	18446	7173
720	18471	7147
721	18500	7123
722	18527	7098
723	18551	7072
724	18577	7046
725	18610	7023
726	18636	6998
727	18659	6971
728	18685	6946
729	18711	6920
730	18739	6896
731	18765	6870
732	18789	6844
733	18816	6818
734	18841	6793
735	18866	6767
736	18892	6741
737	18916	6715
738	18942	6690
739	18967	6664
740	18992	6638
741	19017	6612
742	19042	6586
743	19068	6561
744	19094	6535
745	19119	6509
746	19145	6484
747	19170	6458
748	19195	6432
749	19219	6406
750	19245	6380
751	19269	6354
752	19294	6328
753	19314	6301
754	19338	6275
755	19364	6249
756	19391	6224
757	19418	6199
758	19444	6174
759	19466	6147
760	19492	6121
761	19512	6094
762	19538	6068
763	19566	6043
764	19592	6018
765	19618	5993
766	19645	5967
767	19672	5942
768	19695	5916
769	19721	5890
770	19746	5865
771	19773	5839
772	19799	5814
773	19824	5788
774	19850	5762
775	19876	5737
776	19902	5711
777	19926	5685
778	19952	5660
779	19977	5634
780	20003	5609
781	20028	5583
782	20054	5557
783	20079	5532
784	20099	5504
785	20129	5480
786	20156	5455
787	20181	5429
788	20206	5403
789	20232	5378
790	20258	5352
791	20283	5326
792	20308	5301
793	20334	5275
794	20359	5249
795	20384	5224
796	20409	5198
797	20433	5172
798	20459	5146
799	20484	5121
800	20508	5095
801	20534	5069
802	20558	5043
803	20583	5017
804	20609	4992
805	20635	4966
806	20659	4940
807	20685	4915
808	20712	4890
809	20736	4864
810	20762	4838
811	20786	4812
812	20812	4787
813	20839	4761
814	20865	4736
815	20891	4710
816	20915	4684
817	20940	4659
818	20965	4633
819	20991	4607
820	21017	4582
821	21042	4556
822	21067	4531
823	21093	4505
824	21117	4479
825	21142	4453
826	21169	4428
827	21195	4402
828	21230	4379
829	21258	4354
830	21284	4328
831	21312	4303
832	21337	4277
833	21361	4251
834	21387	4226
835	21413	4200
836	21439	4175
837	21466	4149
838	21493	4124
839	21524	4099
840	21550	4074
841	21578	4049
842	21605	4023
843	21631	3998
844	21657	3972
845	21683	3947
846	21710	3921
847	21736	3896
848	21762	3870
849	21788	3845
850	21812	3819
851	21836	3793
852	21862	3767
853	21888	3742
854	21914	3716
855	21941	3691
856	21975	3666
857	22001	3641
858	22026	3615
859	22053	3590
860	22078	3564
861	22103	3538
862	22129	3512
863	22154	3487
864	22180	3461
865	22205	3435
866	22230	3410
867	22254	3384
868	22279	3358
869	22306	3333
870	22330	3307
871	22356	3281
872	22380	3255
873	22405	3230
874	22432	3204
875	22457	3178
876	22483	3153
877	22507	3127
878	22532	3101
879	22557	3076
880	22583	3050
881	22605	3024
882	22631	2998
883	22657	2973
884	22682	2947
885	22707	2921
886	22731	2895
887	22757	2870
888	22781	2844
889	22806	2818
890	22830	2792
891	22857	2767
892	22882	2741
893	22907	2716
894	22932	2690
895	22957	2664
896	22982	2639
897	23011	2613
898	23036	2588
899	23061	2562
900	23085	2536
901	23111	2511
902	23137	2485
903	23163	2459
904	23189	2434
905	23215	2408
906	23240	2382
907	23265	2357
908	23290	2331
909	23316	2305
910	23340	2280
911	23367	2254
912	23391	2228
913	23416	2203
914	23441	2177
915	23466	2151
916	23490	2126
917	23515	2100
918	23541	2074
919	23566	2049
920	23592	2023
921	23618	1998
922	23644	1972
923	23670	1946
924	23692	1921
925	23718	1895
926	23744	1869
927	23771	1844
928	23796	1818
929	23821	1793
930	23846	1767
931	23870	1741
932	23887	1715
933	23911	1689
934	23937	1664
935	23963	1638
936	23989	1612
937	24016	1587
938	24042	1561
939	24070	1536
940	24096	1510
941	24122	1485
942	24149	1459
943	24176	1434
944	24203	1408
945	24230	1383
946	24257	1357
947	24284	1332
948	24310	1306
949	24336	1280
950	24363	1255
951	24389	1229
952	24416	1204
953	24446	1178
954	24472	1153
955	24497	1127
956	24523	1101
957	24550	1076
958	24570	1050
959	24595	1024
960	24622	999
961	24648	973
962	24671	947
963	24698	922
964	24724	896
965	24749	871
966	24775	845
967	24799	819
968	24825	794
969	24852	768
970	24878	743
971	24904	717
972	24929	691
973	24953	666
974	24978	640
975	25006	614
976	25031	589
977	25058	563
978	25085	538
979	25111	512
980	25139	486
981	25164	461
982	25190	435
983	25217	410
984	25242	384
985	25277	358
986	25304	333
987	25330	307
988	25357	282
989	25382	256
990	25408	230
991	25433	205
992	25458	179
993	25482	153
994	25508	128
995	25533	102
996	25559	76
997	25594	51
998	25621	25
999	25647	0
